,words,tfidf,topic
46,free,0.011027744723893436,3
47,add,0.010919467038678935,3
48,clear,0.01084074811312082,3
49,absolutely,0.010784734629723123,3
50,bully,0.010665337149310025,3
51,wear,0.010632035587218277,3
52,anyways,0.010408346593697158,3
53,lazy,0.010351573559428852,3
54,check,0.01029210602641954,3
55,set,0.010207518957733431,3
56,math,0.010129510958647387,3
57,list,0.010070352197670355,3
58,teach,0.010048758768969232,3
59,detail,0.009984946018477674,3
0,week,0.0526357549242738,4
1,sleep,0.05075319487162333,4
2,hour,0.048719082545637726,4
3,bed,0.047246077259230496,4
4,night,0.04476296790846862,4
5,room,0.042964118105752555,4
6,eat,0.041273829346593266,4
7,house,0.039469968439181435,4
8,sit,0.0393536553930903,4
9,play,0.03866476072536071,4
10,walk,0.036825858119530736,4
11,spend,0.03627276354562192,4
12,watch,0.03583848173393271,4
13,cry,0.03488169009139952,4
14,fall,0.03331881214665827,4
15,wake,0.03325014967213957,4
16,stay,0.03188411933326141,4
17,game,0.030524230913468783,4
18,food,0.025752511914077788,4
19,face,0.02528018398170284,4
20,drive,0.024135466821720724,4
21,morning,0.024031696838901214,4
22,video,0.022893498546535006,4
23,half,0.022204586819630664,4
24,hit,0.02199326096182524,4
25,phone,0.021634398344640312,4
26,hand,0.02091852344571239,4
27,eye,0.020852824743764275,4
28,outside,0.020691098012934863,4
29,weight,0.020406221705250843,4
30,minute,0.02018589010193519,4
31,clean,0.019003744529350188,4
32,small,0.01900000276842707,4
33,lie,0.018753198136449042,4
34,today,0.018577177441762124,4
35,early,0.01856751167601235,4
36,door,0.0174684080278036,4
37,miss,0.017195007672962722,4
38,drink,0.01716174909501089,4
39,late,0.01707865381683146,4
40,tear,0.01693026649130047,4
41,10,0.01668689055625165,4
42,shower,0.01639055233440107,4
43,stand,0.016002382409372195,4
44,throw,0.01566364987638685,4
45,open,0.015089832579870966,4
46,lay,0.015033301895636194,4
47,wait,0.014834698862380076,4
48,hang,0.014825230055516293,4
49,music,0.014668023017395294,4
50,smoke,0.014523737946669701,4
51,barely,0.014374201833411355,4
52,motivation,0.013868415224002421,4
53,pick,0.01378129898632272,4
54,apart,0.013202208909979833,4
55,usually,0.012742312921511246,4
56,weed,0.012507788236841148,4
57,water,0.012446532290078334,4
58,30,0.012208834094893343,4
59,dark,0.012158591051631125,4
0,love,0.07055573890154676,5
1,look,0.057359684696490054,5
2,care,0.0567319541304766,5
3,end,0.05454377686250289,5
4,happy,0.04697019155582394,5
5,use,0.04581146889049453,5
6,shit,0.04355350074087311,5
7,anymore,0.04299961759093551,5
8,die,0.042758537960389364,5
9,hate,0.04222598994009619,5
